Nome do Produto,Volume,Categoria,Venda em (un/pct),Estoque Atual,Fornecedor,Preço de Custo,Preço de Venda Atual (un.),Margem de Lucro (un.),Preço de Venda Atual (pct),Margem de Lucro (pct),Giro (Vende Rápido/Devagar)
Canelinha,900ml,Bebidas Quentes,unidade,27un,,,"R$ 16,00",,-,,
Contini,900ml,Bebidas Quentes,unidade,27un,,,"R$ 26,00",,-,,
Cynar,900ml,Bebidas Quentes,unidade,9un,,,"R$ 23,00",,-,,
DomecQ,1L,Bebidas Quentes,unidade,9un,,,"R$ 38,00",,-,,
Dreher,900ml,Bebidas Quentes,unidade,62un,,,"R$ 21,00",,-,,
Pitu Lata Pura,350ml,Bebidas Quentes,unidade,237un,,,"R$ 7,00",,"R$ 56,00",,
Pitu Lata Limão ,350ml,Bebidas Quentes,unidade,14un,,,"R$ 7,00",,,,
Pitu Lata Mel e Limão,350ml,Bebidas Quentes,unidade,,,,"R$ 7,00",,,,
Pitu Lata Pura 710ml,710ml,Bebidas Quentes,unidade,55un,,,"R$ 12,00",,,,
Pitu Lata Pura,473ml,Bebidas Quentes,unidade,47un,,,"R$ 9,00",,,,
Fernet Fenetti Amargo Dubar,900ml,Bebidas Quentes,unidade,7un,,,"R$ 28,00",,-,,
Fogo Paulista*,Indisponivel,Indisponível,unidade,,,,"R$ 28,00",,-,,
Groselha*,900ml,Bebidas Quentes,unidade,21un,,,"R$ 14,00",,-,,
Jurubeba,600ml,Bebidas Quentes,unidade,21un,,"R$ 10,00","R$ 15,00","50,00%",-,,
Kariri*,965ml,Bebidas Quentes,unidade,44un,,,"R$ 19,00",,-,,
Mel Itajaí,"1,25kg",Bebidas Quentes,unidade,23un,,,"R$ 13,00",,-,,
Montilla,1L,Bebidas Quentes,unidade,26un,,,"R$ 32,00",,-,,
PARATUDO,900ml,Bebidas Quentes,unidade,47un,,,"R$ 16,00",,-,,
Pitú,965ml,Bebidas Quentes,unidade,15un,,,"R$ 15,00",,-,,
Pitú 600ml,600ml,Bebidas Quentes,unidade,9un,,,"R$ 13,00",,-,,
Pitú Amarelinha,965ml,Bebidas Quentes,unidade,2un,,,"R$ 17,00",,-,,
Salinas,1L,Bebidas Quentes,unidade,27un,,,"R$ 48,00",,-,,
São Francisco*,965ml,Bebidas Quentes,unidade,18un,,,"R$ 32,00",,-,,
São João da Barra,900ml,Bebidas Quentes,unidade,45un,,,"R$ 22,00",,-,,
Saquê,Indisponivel,Indisponível,unidade,,,,"R$ 25,00",,-,,
Sakê Seco Bonsai,950ml,Bebidas Quentes,unidade,4un,,,"R$ 20,00",,,,
Seleta,1L,Bebidas Quentes,unidade,23un,,,"R$ 45,00",,-,,
Selvagem,900ml,Bebidas Quentes,unidade,93un,,,"R$ 16,00",,-,,
Selvagem Açaí ,900ml,Bebidas Quentes,unidade,8un,,,"R$ 16,00",,,,
Steinhager*,965ml,Bebidas Quentes,unidade,7un,,,"R$ 33,00",,-,,
Velho Barreiro*,900ml,Bebidas Quentes,unidade,23un,,,"R$ 15,00",,-,,
