"Lines","FullName"
"489","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\hooks\use-crm.ts"
"479","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\movements\components\MovementsTable.tsx"
"477","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\components\batch-management\BatchList.tsx"
"474","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\sales\hooks\__tests__\use-sales.test.ts"
"473","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\ui\composite\SuperModal.tsx"
"465","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\hooks\common\use-categories.ts"
"465","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\core\config\error-tracking.ts"
"459","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\hooks\common\__tests__\useErrorHandler.test.ts"
"457","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\components\customer-list.tsx"
"447","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\hooks\audit\useAuditErrorHandler.ts"
"447","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\sales\components\RecentSales.tsx"
"446","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\ui\thirdparty\search-bar-21st.tsx"
"445","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\core\config\theme.ts"
"444","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\__tests__\utils\test-cleanup.ts"
"441","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\components\StockAdjustmentModal.tsx"
"441","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\__tests__\performance\components.performance.test.tsx"
"438","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\__tests__\accessibility\components.accessibility.test.tsx"
"435","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\components\CustomerDataTable.tsx"
"432","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\components\batch-management\ExpiryDashboard.tsx"
"431","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\sales\hooks\__tests__\use-cart.performance.test.ts"
"429","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\expenses\components\EditExpenseModal.tsx"
"428","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\core\config\error-messages.ts"
"425","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\delivery\hooks\useDeliveryOrders.ts"
"419","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\components\batch-management\CreateBatchModal.tsx"
"418","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\sales\components\DeliveryOptionsModal.tsx"
"416","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\hooks\business\useCustomerProfileHeaderSSoT.ts"
"412","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\components\batch-management\ReceivingWorkflow.tsx"
"409","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\reports\components\DeliveryPerformanceDashboard.tsx"
"408","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\core\error-handling\ErrorFallback.tsx"
"407","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\components\InventoryMovementsHistory.tsx"
"406","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\__tests__\integration\rpc-backend.integration.test.ts"
"405","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\hooks\useInventoryErrorHandler.ts"
"403","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\hooks\common\__tests__\useFilters.test.ts"
"403","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\components\BirthdayCalendar.tsx"
"402","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\__tests__\integration\inventory-movement.integration.test.tsx"
"400","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\sales\components\ProductSelectionModal.tsx"
"398","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\reports\components\FinancialCashFlowDashboard.tsx"
"395","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\ui\composite\DataTable.tsx"
"391","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\sales\components\__tests__\ReceiptModal.test.tsx"
"389","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\__tests__\mocks\supabase-test-db.ts"
"387","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\hooks\common\use-toast.ts"
"377","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\hooks\business\useCustomerCommunicationSSoT.ts"
"375","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\utils\csvUtils.ts"
"374","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\hooks\useBatches.ts"
